ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	LEXSTATIDS	ALIGNMENT
131	13_big	big	Baocheng	Baocheng Hlai	luŋ1	luŋ1	l u ŋ *1/¹	hlai1239	1202	18.64	109.70		5 7 4 8	AXLT	LYN6	2	2.L.C 2.Y.V 2.N.c 2.6.T	1.6 3.0 1.1 1.0	luŋ*1/¹	0	47	47	l u ŋ *1/¹
132	13_big	big	Gelong	Gelong	loŋ1	loŋ1	l o ŋ *1/¹		1202	19.10	108.65		5 7 4 8	AXLT	LUN6	4	4.L.C 4.U.V 4.N.c 4.6.T	1.6 3.0 1.1 1.0	loŋ*1/¹	0	47	47	l o ŋ *1/¹
194	20_bird	bird	Xifang	Xifang Hlai	sat7	sat7	s a t *7/⁵²	hlai1239	937	19.30	109.24		3 7 1 8	AXLT	SAT3	8	8.S.C 8.A.V 8.T.c 8.3.T	1.6 3.0 1.1 1.0	sat*7/⁵²	0	58	58	s - a t *7/⁵²
195	20_bird	bird	Baisha	Baisha Hlai	tshat8	tshat8	tsʰ a t *8/⁵³	hlai1239	937	18.65	108.72		2 7 1 8	AXLT	CAT3	1	1.C.C 1.A.V 1.T.c 1.3.T	1.6 3.0 1.1 1.0	tsʰat*8/⁵³	0	58	58	tsʰ - a t *8/⁵³
196	20_bird	bird	Yuanmen	Yuanmen Hlai	ȵa:u4	ȵa:u4	ȵ aːu *4/⁴	hlai1239	937	19.11	109.54		4 7 8	AXT	NA6	9	9.N.C 9.A.V 9.6.T	1.6 3.0 1.0	ȵaːu*4/⁴	0	59	59	ȵ aːu *4/⁴
197	20_bird	bird	Heitu	Heitu Hlai	tat9	tat9	t a t *9/⁵⁴	hlai1239	937	19.51	108.94		1 7 1 8	AXLT	TAT3	5	5.T.C 5.A.V 5.T.c 5.3.T	1.6 3.0 1.1 1.0	tat*9/⁵⁴	0	58	58	t - a t *9/⁵⁴
198	20_bird	bird	Baoding	Baoding Hlai	taȶ7	taȶ7	t a ȶ *7/⁵²	hlai1239	937	18.77	110.45		1 7 1 8	AXLT	TAT3	3	3.T.C 3.A.V 3.T.c 3.3.T	1.6 3.0 1.1 1.0	taȶ*7/⁵²	0	58	58	t - a ȶ *7/⁵²
199	20_bird	bird	Zhongsha	Zhongsha Hlai	tat7	tat7	t a t *7/⁵²	hlai1239	937	15.83	114.33		1 7 1 8	AXLT	TAT3	10	10.T.C 10.A.V 10.T.c 10.3.T	1.6 3.0 1.1 1.0	tat*7/⁵²	0	58	58	t - a t *7/⁵²
200	20_bird	bird	Tongzha	Tongzha Hlai	tat7	tat7	t a t *7/⁵²	hlai1239	937	18.88	109.67		1 7 1 8	AXLT	TAT3	7	7.T.C 7.A.V 7.T.c 7.3.T	1.6 3.0 1.1 1.0	tat*7/⁵²	0	58	58	t - a t *7/⁵²
201	20_bird	bird	Qiandui	Quiandui Hlai	tat7	tat7	t a t *7/⁵²	hlai1239	937	18.91	110.04		1 7 1 8	AXLT	TAT3	6	6.T.C 6.A.V 6.T.c 6.3.T	1.6 3.0 1.1 1.0	tat*7/⁵²	0	58	58	t - a t *7/⁵²
