CONCEPT	COGNATES_A	COGNATES_B	COGNATES_C	COGNATES_D	COGNATES_E	COGNATES_F	COGNATES_G
many	Xifang, Baisha, Yuanmen, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Heitu, Gelong					
moon	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
mountain	Heitu, Baoding, Zhongsha, Baocheng	Xifang, Baisha, Gelong	Yuanmen 	Tongzha 	Qiandui		
mouth	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
name	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
neck	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
new	Baisha, Yuanmen, Tongzha, Qiandui, Baocheng	Xifang, Heitu, Baoding, Zhongsha, Gelong					
night	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
nose	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
not	Baisha, Yuanmen, Tongzha, Qiandui, Baocheng, Gelong	Xifang 	Heitu, Zhongsha	Baoding			
one	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Qiandui, Baocheng, Gelong	Tongzha					
path	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
person	Xifang, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Baisha, Gelong	Yuanmen				
rain	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
red	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Gelong	Qiandui, Baocheng					
root	Xifang, Baoding, Zhongsha	Tongzha, Qiandui, Baocheng, Gelong	Baisha, Yuanmen, Heitu				
round	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Baocheng	Gelong	Qiandui 				
sand	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
say	Heitu, Baoding, Zhongsha, Tongzha, Baocheng	Qiandui, Gelong	Xifang, Baisha	Yuanmen 			
see	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
seed	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
sit	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
skin	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
sleep	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng						
small	Xifang, Baisha, Yuanmen, Heitu, Tongzha, Qiandui, Baocheng	Gelong	Xifang, Baoding, Zhongsha				
smoke	Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Gelong	Xifang, Baisha				
stand	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Gelong					
star	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
stone	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
sun	Xifang, Baisha, Yuanmen, Heitu, Zhongsha, Tongzha, Qiandui, Gelong	Xifang, Baisha, Heitu, Zhongsha, Tongzha, Qiandui, Gelong	Baoding, Baocheng				
swim	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
tail	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
that	Xifang, Heitu, Baoding, Tongzha, Qiandui, Baocheng	Gelong	Baisha, Yuanmen, Zhongsha				
this	Xifang, Baisha, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
tongue	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
tooth	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
tree	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Gelong					
two	Xifang, Baisha, Yuanmen, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Heitu, Gelong					
walk	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
warm	Xifang, Baisha, Yuanmen, Baoding, Tongzha, Qiandui, Baocheng	Gelong	Heitu 	Zhongsha 			
water	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
we	Xifang, Baisha, Yuanmen, Baoding, Tongzha, Qiandui, Baocheng	Zhongsha, Gelong	Heitu 				
what	Baisha, Heitu, Zhongsha	Gelong	Baocheng 	Qiandui 	Yuanmen 	Baoding, Tongzha	Xifang 
white	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
who	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng	Gelong					
woman	Baisha, Yuanmen, Baoding, Zhongsha, Qiandui, Baocheng	Gelong	Heitu 	Xifang, Tongzha			
yellow	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
you	Xifang, Baisha, Yuanmen, Heitu, Baoding, Zhongsha, Tongzha, Qiandui, Baocheng, Gelong						
