No	English	XF	BS	YM	HT	BD	ZS	TZ	QD	BC	Gelong
50	neck	zɔŋ3	zɔŋ3	tsɔŋ3	zoŋ3	zoŋ3	zuŋ3	ɬoŋ6	ɬoŋ6	ɬɔŋ6	lɔŋ4
51	breast	tsei1	tsi3	ti3	tsi2	tsei1	tsi2	tsi5	tsi5	tsi5	tsɛi1
52	heart	ɬa:u3	ɬa:u3	ɬa:u3	tem3	ɬa:u3	ɬa:u3	ɬa:u3	ɬa:u3	ɬa:u3	tθem5
53	liver	ŋa: ŋ1	ŋa: ŋ1	ŋuan1	ŋa: n1	ŋa:n1	ŋa:n1	ŋa:n1	ŋa:n4	ŋa:n1	ŋɔn1
54	drink	ȵa:u1	Ɂɔk8	ɁɔɁ7	lou2	Ɂo:k9	Ɂok7	Ɂo:Ɂ 9	ɁoɁ7	Ɂɔ:Ɂ7	tshep2
55	eat	lau2	lɔɁ8	lɔɁ8	lou2	la2	lau2	lau5	khan1	khan1	la5
56	bite	kan3	kan3	rap8	than3	ka:ȵ3	ka:n3	ka:n8	kha:n6	ka:n6	ŋat2
57	see	la:i3	la:i3	luai6	la:i3	la:i3	la:i3	la:i3	la:i6	la:i3	lai3
58	hear	pleɯ1	pleɯ1	pleɯ1	leɯ1	pleɯ1	leɯ1	pleɯ1	peɯ1	pleɯ1	liəŋ5
59	know	khoŋ1	---	---	khu:ŋ1	khu:ŋ1	khu:ŋ1	khu:ŋ1	khuaŋ1	khuŋ1	khoŋ1
60	sleep	tso:ŋ1	tsuaŋ1	tu:n1	tso:n1	tso:n1	tso:n1	tso:n1	tsɔ:n1	tsɔ:n1	---
61	die	hɔk7	ɬa:u2	zui6	da:u2	ɬa:u2	ɬa:u2	ɬu:i4	ɬu:i4	ɬu:i4	tshɔt2
62	kill	hau3	hau3	hau3	hau3	hau3	hau3	hau3	hau3	hau3	hai3
63	swim	plei1	plei1	plei1	lei1	plei1	lei1	plei1	pei1	pei1	lɔi4
64	fly	ben1	ben1	ben1	bin1	beȵ1	bin1	ben1	ben1	bin1	ben1
65	walk	fei1	fei1	fhei1	pei1	fei1	fei1	fei1	fei1	fei1	foil1
66	come	pɯŋ1	phə1 // nen3	pheɯɁ7 // kɯ3 ni5	mɯ:n1	pɯ:n1	pɯ:n1	pɯ:n4	phɯ:n4	pɯ:n4	bɘn4
67	lie	---	---	---	---	---	---	---	---	---	---
